pressure_mmHg,sensVal,waveAmplitude
pressure_mmHg, sensVal, waveAmplitude,
13.50,589.00,-968090.25,
13.50,589.00,-1452135.37,
13.50,589.00,-968090.25,
13.50,589.00,-1452135.37,
12.75,589.00,-968090.25,
13.50,589.00,-1452135.37,
12.75,589.00,-1452135.37,
13.50,589.00,-968090.25,
13.50,588.00,-1449669.87,
12.75,589.00,-968090.25,
12.75,589.00,-1452135.37,
12.75,588.00,-966446.62,
12.75,588.00,-1449669.87,
12.75,589.00,-968090.25,
12.75,588.00,-1449669.87,
12.75,588.00,-1449669.87,
12.75,588.00,-966446.62,
12.75,588.00,-1449669.87,
12.75,588.00,-966446.62,
12.75,588.00,-1449669.87,
12.75,588.00,-966446.62,
12.75,587.00,-964803.00,
12.75,587.00,-964803.00,
12.75,588.00,-1449669.87,
12.75,588.00,-1449669.87,
12.75,587.00,-964803.00,
12.75,587.00,-1447204.50,
12.75,587.00,-964803.00,
12.75,587.00,-1447204.50,
12.75,587.00,-964803.00,
12.75,587.00,-1447204.50,
12.75,587.00,-964803.00,
12.75,587.00,-1447204.50,
12.75,587.00,-964803.00,
12.75,587.00,-964803.00,
12.75,586.00,-963159.37,
12.75,586.00,-1444739.00,
12.75,587.00,-964803.00,
12.75,587.00,-1447204.50,
12.75,586.00,-1444739.00,
12.75,587.00,-964803.00,
12.75,587.00,-1447204.50,
12.75,586.00,-963159.37,
12.75,586.00,-1444739.00,
12.75,587.00,-964803.00,
12.75,587.00,-1447204.50,
12.75,586.00,-963159.37,
13.50,586.00,-963159.37,
13.50,586.00,-963159.37,
13.50,586.00,-1444739.00,
12.75,586.00,-963159.37,
13.50,586.00,-1444739.00,
12.75,586.00,-963159.37,
13.50,586.00,-1444739.00,
12.75,586.00,-1444739.00,
13.50,586.00,-963159.37,
12.75,586.00,-1444739.00,
13.50,585.00,-961515.75,
12.75,586.00,-1444739.00,
13.50,586.00,-963159.37,
12.75,586.00,-963159.37,
13.50,586.00,-963159.37,
13.50,586.00,-1444739.00,
13.50,585.00,-961515.75,
13.50,585.00,-1442273.62,
13.50,586.00,-1444739.00,
13.50,586.00,-963159.37,
13.50,585.00,-1442273.62,
13.50,586.00,-963159.37,
12.75,585.00,-1442273.62,
12.75,585.00,-961515.75,
12.75,585.00,-1442273.62,
12.75,585.00,-961515.75,
12.75,585.00,-961515.75,
12.75,585.00,-961515.75,
12.75,585.00,-1442273.62,
12.75,585.00,-1442273.62,
12.75,584.00,-959872.18,
12.75,585.00,-1442273.62,
12.75,585.00,-961515.75,
12.75,585.00,-1442273.62,
12.75,584.00,-959872.18,
12.75,585.00,-1442273.62,
12.75,584.00,-1439808.25,
12.75,584.00,-959872.18,
12.75,584.00,-1439808.25,
13.50,585.00,-721136.87,
13.50,584.00,-1439808.25,
12.75,584.00,-959872.18,
13.50,584.00,-1439808.25,
12.75,584.00,-959872.18,
13.50,584.00,-1439808.25,
13.50,584.00,-1439808.25,
13.50,584.00,-959872.18,
13.50,584.00,-1439808.25,
13.50,584.00,-959872.18,
13.50,585.00,-1442273.62,
13.50,584.00,-959872.18,
13.50,584.00,-1439808.25,
13.50,584.00,-719904.12,
14.25,585.00,-1442273.62,
14.25,585.00,-1442273.62,
14.25,585.00,-961515.75,
15.00,585.00,-1442273.62,
15.75,586.00,-963159.37,
16.50,586.00,-1444739.00,
16.50,587.00,-964803.00,
16.50,587.00,-1447204.50,
15.75,587.00,-964803.00,
15.75,587.00,-1447204.50,
15.75,588.00,-966446.62,
15.75,588.00,-966446.62,
15.75,588.00,-966446.62,
15.75,589.00,-968090.25,
15.75,589.00,-1452135.37,
15.75,589.00,-968090.25,
15.75,590.00,-1454600.75,
15.75,591.00,-971377.50,
15.75,591.00,-1457066.12,
15.75,591.00,-971377.50,
15.75,591.00,-1457066.12,
15.75,592.00,-1459531.62,
15.75,591.00,-971377.50,
15.75,592.00,-1459531.62,
15.75,592.00,-973021.12,
15.75,592.00,-973021.12,
15.75,592.00,-973021.12,
15.75,593.00,-1461997.00,
15.75,593.00,-974664.68,
15.75,593.00,-1461997.00,
15.75,593.00,-974664.68,
15.75,594.00,-1464462.50,
15.75,594.00,-1464462.50,
15.75,594.00,-976308.31,
15.75,595.00,-1466927.87,
15.75,595.00,-977951.93,
15.75,595.00,-1466927.87,
15.75,595.00,-977951.93,
15.75,596.00,-1469393.25,
15.75,595.00,-1466927.87,
15.75,596.00,-979595.56,
15.75,596.00,-1469393.25,
15.75,597.00,-981239.18,
15.75,596.00,-1469393.25,
15.75,597.00,-981239.18,
15.75,597.00,-1471858.75,
15.00,597.00,-981239.18,
15.00,597.00,-981239.18,
15.00,598.00,-1474324.12,
15.00,597.00,-981239.18,
15.00,598.00,-1474324.12,
15.00,598.00,-737162.12,
15.00,598.00,-1474324.12,
15.00,598.00,-982882.81,
15.00,598.00,-1474324.12,
15.00,599.00,-984526.43,
15.00,599.00,-1476789.62,
15.00,599.00,-1476789.62,
15.00,599.00,-984526.43,
15.00,599.00,-1476789.62,
15.00,599.00,-984526.43,
15.00,599.00,-1476789.62,
15.00,600.00,-986170.00,
15.00,599.00,-1476789.62,
15.00,599.00,-738394.87,
15.00,599.00,-1476789.62,
15.00,600.00,-1479255.00,
15.00,599.00,-984526.43,
15.00,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-739627.56,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-1479255.00,
14.25,600.00,-986170.00,
14.25,600.00,-986170.00,
13.50,600.00,-986170.00,
13.50,599.00,-1476789.62,
13.50,600.00,-1479255.00,
13.50,599.00,-984526.43,
13.50,599.00,-1476789.62,
13.50,599.00,-984526.43,
12.75,599.00,-1476789.62,
12.75,599.00,-984526.43,
13.50,599.00,-1476789.62,
13.50,599.00,-984526.43,
13.50,599.00,-1476789.62,
13.50,598.00,-1474324.12,
13.50,598.00,-737162.12,
13.50,598.00,-1474324.12,
13.50,598.00,-982882.81,
13.50,598.00,-1474324.12,
13.50,598.00,-982882.81,
13.50,597.00,-1471858.75,
13.50,598.00,-982882.81,
13.50,598.00,-1474324.12,
13.50,597.00,-1471858.75,
13.50,597.00,-981239.18,
13.50,597.00,-1471858.75,
13.50,597.00,-981239.18,
13.50,597.00,-1471858.75,
13.50,597.00,-735929.43,
13.50,597.00,-1471858.75,
13.50,597.00,-981239.18,
13.50,596.00,-979595.56,
13.50,597.00,-1471858.75,
13.50,597.00,-981239.18,
13.50,596.00,-1469393.25,
13.50,596.00,-979595.56,
13.50,596.00,-1469393.25,
13.50,596.00,-979595.56,
13.50,595.00,-1466927.87,
13.50,596.00,-979595.56,
13.50,596.00,-1469393.25,
13.50,595.00,-977951.93,
13.50,595.00,-977951.93,
13.50,596.00,-1469393.25,
13.50,595.00,-977951.93,
13.50,595.00,-1466927.87,
13.50,595.00,-977951.93,
13.50,595.00,-1466927.87,
13.50,595.00,-977951.93,
13.50,595.00,-1466927.87,
13.50,595.00,-1466927.87,
13.50,594.00,-976308.31,
13.50,594.00,-1464462.50,
13.50,595.00,-977951.93,
13.50,594.00,-976308.31,
