Raw Value,Voltage (V),Current (mA),Receiver Ultrasound,Pressure (mmHg)
2331,1.88,10.44,807.0,30.17
2330,1.88,10.43,813.0,30.15
2320,1.87,10.39,814.0,29.94
2333,1.88,10.44,813.0,30.21
2333,1.88,10.44,814.0,30.21
2331,1.88,10.44,813.0,30.17
2331,1.88,10.44,814.0,30.17
2320,1.87,10.39,814.0,29.94
2352,1.9,10.53,814.0,30.61
2333,1.88,10.44,814.0,30.21
2283,1.84,10.22,815.0,29.16
2334,1.88,10.45,816.0,30.23
2331,1.88,10.44,815.0,30.17
2342,1.89,10.49,816.0,30.4
2305,1.86,10.32,816.0,29.63
2350,1.89,10.52,817.0,30.57
2353,1.9,10.53,816.0,30.63
2330,1.88,10.43,816.0,30.15
2346,1.89,10.5,816.0,30.49
2397,1.93,10.73,819.0,31.56
2297,1.85,10.28,817.0,29.46
2347,1.89,10.51,818.0,30.51
2341,1.89,10.48,817.0,30.38
2337,1.88,10.46,820.0,30.3
2347,1.89,10.51,821.0,30.51
2341,1.89,10.48,827.0,30.38
2339,1.88,10.47,822.0,30.34
2336,1.88,10.46,818.0,30.28
2335,1.88,10.45,823.0,30.25
2334,1.88,10.45,822.0,30.23
2333,1.88,10.44,817.0,30.21
2333,1.88,10.44,821.0,30.21
2337,1.88,10.46,821.0,30.3
2339,1.88,10.47,823.0,30.34
2337,1.88,10.46,828.0,30.3
2341,1.89,10.48,827.0,30.38
2335,1.88,10.45,823.0,30.25
2337,1.88,10.46,827.0,30.3
2337,1.88,10.46,826.0,30.3
2336,1.88,10.46,829.0,30.28
2334,1.88,10.45,829.0,30.23
2335,1.88,10.45,826.0,30.25
2337,1.88,10.46,824.0,30.3
2343,1.89,10.49,830.0,30.42
2337,1.88,10.46,819.0,30.3
2341,1.89,10.48,835.0,30.38
2351,1.89,10.53,825.0,30.59
2352,1.9,10.53,834.0,30.61
2357,1.9,10.55,833.0,30.72
2364,1.91,10.58,848.0,30.86
2371,1.91,10.61,845.0,31.01
2398,1.93,10.74,845.0,31.58
2453,1.98,10.98,859.0,32.73
2426,1.96,10.86,861.0,32.16
2430,1.96,10.88,849.0,32.25
2417,1.95,10.82,854.0,31.98
2410,1.94,10.79,852.0,31.83
2416,1.95,10.82,854.0,31.95
2407,1.94,10.78,851.0,31.77
2413,1.94,10.8,847.0,31.89
2415,1.95,10.81,853.0,31.93
2416,1.95,10.82,856.0,31.95
2410,1.94,10.79,853.0,31.83
2413,1.94,10.8,861.0,31.89
2411,1.94,10.79,857.0,31.85
2414,1.95,10.81,858.0,31.91
2410,1.94,10.79,855.0,31.83
2410,1.94,10.79,855.0,31.83
2411,1.94,10.79,854.0,31.85
2413,1.94,10.8,863.0,31.89
2416,1.95,10.82,862.0,31.95
2411,1.94,10.79,863.0,31.85
2414,1.95,10.81,863.0,31.91
2416,1.95,10.82,859.0,31.95
2413,1.94,10.8,864.0,31.89
2416,1.95,10.82,863.0,31.95
2413,1.94,10.8,863.0,31.89
2405,1.94,10.77,865.0,31.72
2423,1.95,10.85,864.0,32.1
2426,1.96,10.86,871.0,32.16
2455,1.98,10.99,874.0,32.77
2523,2.03,11.3,887.0,34.2
2611,2.1,11.69,908.0,36.05
2638,2.13,11.81,912.0,36.61
2704,2.18,12.11,926.0,38.0
2893,2.33,12.95,966.0,41.97
2917,2.35,13.06,971.0,42.47
2897,2.33,12.97,967.0,42.05
2890,2.33,12.94,967.0,41.9
2877,2.32,12.88,970.0,41.63
2865,2.31,12.83,969.0,41.38
2861,2.31,12.81,965.0,41.29
2852,2.3,12.77,963.0,41.11
2850,2.3,12.76,963.0,41.06
2849,2.3,12.75,969.0,41.04
2846,2.29,12.74,966.0,40.98
2860,2.3,12.8,965.0,41.27
2839,2.29,12.71,963.0,40.83
2842,2.29,12.72,963.0,40.9
2864,2.31,12.82,966.0,41.36
2834,2.28,12.69,962.0,40.73
2837,2.29,12.7,969.0,40.79
2844,2.29,12.73,969.0,40.94
2835,2.28,12.69,967.0,40.75
2832,2.28,12.68,963.0,40.69
2835,2.28,12.69,968.0,40.75
2833,2.28,12.68,967.0,40.71
2833,2.28,12.68,970.0,40.71
2832,2.28,12.68,966.0,40.69
2835,2.28,12.69,968.0,40.75
2833,2.28,12.68,973.0,40.71
2829,2.28,12.67,967.0,40.62
2819,2.27,12.62,975.0,40.41
2827,2.28,12.66,971.0,40.58
2821,2.27,12.63,967.0,40.45
2823,2.27,12.64,972.0,40.5
2803,2.26,12.55,974.0,40.08
2826,2.28,12.65,963.0,40.56
2828,2.28,12.66,973.0,40.6
2830,2.28,12.67,973.0,40.64
2826,2.28,12.65,971.0,40.56
2824,2.28,12.64,975.0,40.52
2831,2.28,12.67,975.0,40.66
2828,2.28,12.66,975.0,40.6
2835,2.28,12.69,975.0,40.75
2842,2.29,12.72,975.0,40.9
2845,2.29,12.74,978.0,40.96
2859,2.3,12.8,977.0,41.25
2871,2.31,12.85,982.0,41.5
2887,2.33,12.93,984.0,41.84
2891,2.33,12.94,988.0,41.92
2847,2.29,12.75,987.0,41.0
2885,2.32,12.92,993.0,41.8
2909,2.34,13.02,986.0,42.3
